Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2019-08-21,1958.0059814453125,1972.1568326041984,1954.4683233199419,1956.8864555412456,1214408
2019-08-22,1984.6949462890625,2002.293800926569,1943.4964049852283,1958.7219528583844,2131601
2019-08-23,2013.086181640625,2024.0127081585383,1982.8141645952887,1983.7546098646158,2826425
2019-08-26,2038.7020263671875,2043.8070220861296,1992.7566275817871,2012.460288618551,2345475
2019-08-27,2003.0556640625,2037.402804830531,1996.3385089180917,2033.0589570408563,3432106
2019-08-28,2005.5184326171875,2017.0718509176686,1984.6952536249582,2006.1901480685497,1294621
2019-08-29,2000.32421875,2013.5346254623068,1990.2484848168845,1990.2484848168845,1670652
2019-08-30,2023.7445068359375,2029.4763915291117,1986.4866003581508,2007.0858752942363,2583625
2019-09-03,2016.5792236328125,2056.523767102275,2003.4582519938788,2033.05855351999,2545060
2019-09-04,2011.0264892578125,2033.0588443734466,1999.9208808307958,2028.5807411920073,2228092
2019-09-05,1984.0687255859375,2018.4156507491468,1976.9037594617846,2008.1608367154358,2055943
2019-09-06,1968.1265869140625,2000.3689337304022,1963.738132727024,1984.6955706946815,1890550
2019-09-09,1955.005615234375,1972.9180281603335,1952.2739285316895,1970.3654218554307,1703945
2019-09-11,1929.16650390625,1965.8869433956447,1922.494175096353,1957.826359117485,2627440
2019-09-12,1910.896484375,1939.0188879427078,1899.0295096566438,1930.0626806080995,2118859
2019-09-13,1918.3746337890625,1932.7045643851684,1894.7303357684434,1912.1501139178567,2291174
2019-09-16,1925.5845947265625,1946.5420326201584,1904.447857758694,1934.4959773753271,2597948
2019-09-17,1901.0892333984375,1931.4509069937465,1885.8190750519466,1930.0178263791222,2796530
2019-09-18,1915.3297119140625,1919.2703555726584,1892.5808146997317,1904.4477890998717,1454663
2019-09-19,1882.5498046875,1912.8666515257887,1872.7428021808712,1912.1501112654998,1652691
2019-09-20,1849.859619140625,1907.1345157081971,1842.2916684150734,1885.1918098860438,6941979
2019-09-23,1805.3922119140625,1879.90780881796,1768.8508444094668,1879.90780881796,6323401
2019-09-24,1831.2755126953125,1845.8741731283874,1802.8843816144804,1804.6756229275597,4620978
2019-09-25,1870.4588623046875,1873.6383592748948,1845.0233238577891,1849.4566022479244,4002232
2019-09-26,1869.6976318359375,1887.072583825392,1847.6652778508703,1878.9223489904405,4234281
2019-09-27,1841.5303955078125,1867.5482203011309,1837.2761972274775,1867.3691398944907,2046795
2019-09-30,1880.176513671875,1884.3858870835973,1844.9785776578947,1846.6355633580677,2620039
2019-10-01,1844.93359375,1877.1759350443679,1826.7972767719182,1877.1759350443679,3342877
2019-10-03,1845.2022705078125,1863.920652868244,1832.574042397012,1853.934571023503,2317618
2019-10-04,1862.3087158203125,1870.0109215118785,1840.4554427633304,1845.5158301677284,2163251
2019-10-07,1833.9620361328125,1875.8771188532198,1827.9614225731304,1862.890621730579,2177916
2019-10-09,1809.2431640625,1844.978448102653,1805.123331141212,1844.978448102653,2066920
2019-10-10,1795.2266845703125,1826.2152450803537,1788.6438949650637,1816.318593627192,2881452
2019-10-11,1779.4637451171875,1786.76307478216,1724.069633561733,1729.4433570949127,12593069
2019-10-14,1810.0491943359375,1820.572736163472,1762.5813035393987,1786.7630592282014,3510704
2019-10-15,1824.647705078125,1833.335180276151,1811.5715581955305,1819.9008726532188,2261310
2019-10-16,1832.7982177734375,1841.3961546062483,1805.5713266956209,1825.274982046466,3034082
2019-10-17,1855.223876953125,1861.6639267988023,1826.3124532632014,1839.7405046971483,3818774
2019-10-18,1879.3394775390625,1885.3225654604678,1849.788446969742,1861.206894173259,3087901
2019-10-22,1873.9044189453125,1928.804411115742,1863.536601030818,1900.029919545699,5552505
2019-10-23,1890.986328125,1903.5466202776147,1874.9090649630327,1881.7601334099136,2348134
2019-10-24,1901.8564453125,1917.3855325220643,1882.9475425488667,1903.6833967489194,2798671
2019-10-25,1941.090087890625,1945.7031846453185,1895.507740987468,1912.8180603977921,3954245
2019-10-27,1932.6407470703125,1944.7900200752213,1926.3378531212197,1944.7900200752213,224405
2019-10-29,2004.9422607421875,2011.1994355752365,1937.9387278915287,1937.9387278915287,5064173
2019-10-30,2057.878662109375,2064.4556443375754,1988.500208399667,2032.4839861288074,5195136
2019-10-31,2073.270751953125,2087.2469796109895,2043.445849216575,2055.3210374328537,4879261
2019-11-01,2010.4686279296875,2078.1572681562475,2005.0792103749286,2068.109035211316,4172620
2019-11-04,2004.1209716796875,2036.3210062401724,1992.200063217797,2016.041880141578,2646411
